circuit,protocol,iters,train_size,test_size,pval,data_time,d_tree_time,bias_sharing,bias_and,accidental_secret,accidental_gate
adder_1.txt,gmw,64,128,64,0.6685554370089457,0.2,1.49,0,0,0,0
adder_1.txt,gmw,64,128,64,0.5985827699650427,0.2,1.27,0,0,0,0
adder_1.txt,gmw,64,128,64,0.12372754629422339,0.2,1.26,0,0,0,0
adder_1.txt,gmw,64,256,128,0.18013546678153092,0.22,1.26,0,0,0,0
adder_1.txt,gmw,64,256,128,0.9399817566063181,0.22,1.27,0,0,0,0
adder_1.txt,gmw,64,256,128,0.3054386113419503,0.22,1.25,0,0,0,0
adder_1.txt,gmw,64,512,256,0.7942916778592066,0.27,1.25,0,0,0,0
adder_1.txt,gmw,64,512,256,0.3343537046866823,0.26,1.25,0,0,0,0
adder_1.txt,gmw,64,512,256,0.8069164663093429,0.26,1.26,0,0,0,0
adder_1.txt,gmw,128,128,64,0.881920788065924,0.22,1.26,0,0,0,0
adder_1.txt,gmw,128,128,64,0.3977945363547708,0.22,1.27,0,0,0,0
adder_1.txt,gmw,128,128,64,0.44308066405825197,0.22,1.26,0,0,0,0
adder_1.txt,gmw,128,256,128,0.9352700387229977,0.26,1.27,0,0,0,0
adder_1.txt,gmw,128,256,128,0.9462721382186046,0.26,1.26,0,0,0,0
adder_1.txt,gmw,128,256,128,0.539134076336368,0.26,1.27,0,0,0,0
adder_1.txt,gmw,128,512,256,0.7900539174036159,0.34,1.27,0,0,0,0
adder_1.txt,gmw,128,512,256,0.7463567622607027,0.34,1.28,0,0,0,0
adder_1.txt,gmw,128,512,256,0.4094179753471228,0.34,1.27,0,0,0,0
adder_1.txt,gmw,64,128,64,0.5086103541434401,0.19,1.25,1,0,0,0
adder_1.txt,gmw,64,128,64,0.35543428485572504,0.2,1.26,1,0,0,0
adder_1.txt,gmw,64,128,64,0.2765358411839678,0.2,1.26,1,0,0,0
adder_1.txt,gmw,64,256,128,0.34491236788662083,0.23,1.26,1,0,0,0
adder_1.txt,gmw,64,256,128,0.6650584887044453,0.22,1.25,1,0,0,0
adder_1.txt,gmw,64,256,128,0.9594244856489563,0.23,1.26,1,0,0,0
adder_1.txt,gmw,64,512,256,0.14526505759674974,0.26,1.25,1,0,0,0
adder_1.txt,gmw,64,512,256,0.373144300228343,0.27,1.26,1,0,0,0
adder_1.txt,gmw,64,512,256,0.7081854499096351,0.27,1.26,1,0,0,0
adder_1.txt,gmw,128,128,64,0.4561225055988645,0.22,1.26,1,0,0,0
adder_1.txt,gmw,128,128,64,0.32381954438482996,0.23,1.24,1,0,0,0
adder_1.txt,gmw,128,128,64,0.0799778335276885,0.23,1.25,1,0,0,0
adder_1.txt,gmw,128,256,128,0.4762529037292051,0.27,1.27,1,0,0,0
adder_1.txt,gmw,128,256,128,0.5249862619927225,0.26,1.26,1,0,0,0
adder_1.txt,gmw,128,256,128,0.4109220048359826,0.27,1.26,1,0,0,0
adder_1.txt,gmw,128,512,256,0.7696293084358897,0.35,1.28,1,0,0,0
adder_1.txt,gmw,128,512,256,0.30454886924275504,0.35,1.3,1,0,0,0
adder_1.txt,gmw,128,512,256,0.5100745662923689,0.36,1.28,1,0,0,0
adder_1.txt,gmw,64,128,64,0.9622189093382205,0.2,1.25,2,0,0,0
adder_1.txt,gmw,64,128,64,0.22689904555857904,0.2,1.25,2,0,0,0
adder_1.txt,gmw,64,128,64,0.6835982075424638,0.2,1.25,2,0,0,0
adder_1.txt,gmw,64,256,128,0.23273229534787532,0.23,1.27,2,0,0,0
adder_1.txt,gmw,64,256,128,0.7683828218485034,0.23,1.25,2,0,0,0
adder_1.txt,gmw,64,256,128,0.9206721445831705,0.22,1.25,2,0,0,0
adder_1.txt,gmw,64,512,256,0.9401021967125633,0.27,1.26,2,0,0,0
adder_1.txt,gmw,64,512,256,0.22330175389861945,0.29,1.26,2,0,0,0
adder_1.txt,gmw,64,512,256,0.9723179411427514,0.29,1.28,2,0,0,0
adder_1.txt,gmw,128,128,64,0.4796127061148033,0.23,1.26,2,0,0,0
adder_1.txt,gmw,128,128,64,0.23043301235396213,0.23,1.27,2,0,0,0
adder_1.txt,gmw,128,128,64,0.4102202900732618,0.23,1.26,2,0,0,0
adder_1.txt,gmw,128,256,128,0.6576822950345168,0.28,1.27,2,0,0,0
adder_1.txt,gmw,128,256,128,0.6295800707734911,0.28,1.28,2,0,0,0
adder_1.txt,gmw,128,256,128,0.04025907114157774,0.27,1.27,2,0,0,0
adder_1.txt,gmw,128,512,256,0.25631082369843183,0.39,1.3,2,0,0,0
adder_1.txt,gmw,128,512,256,0.5930840071835517,0.39,1.3,2,0,0,0
adder_1.txt,gmw,128,512,256,0.6855432681974336,0.4,1.28,2,0,0,0
adder_1.txt,gmw,64,128,64,0.19550107677771522,0.19,1.28,3,0,0,0
adder_1.txt,gmw,64,128,64,0.9552003534897943,0.21,1.25,3,0,0,0
adder_1.txt,gmw,64,128,64,0.6331578792191797,0.2,1.26,3,0,0,0
adder_1.txt,gmw,64,256,128,0.7138004682711911,0.24,1.26,3,0,0,0
adder_1.txt,gmw,64,256,128,0.992105938571912,0.23,1.26,3,0,0,0
adder_1.txt,gmw,64,256,128,0.33450058940725746,0.23,1.26,3,0,0,0
adder_1.txt,gmw,64,512,256,0.9748976544061911,0.3,1.26,3,0,0,0
adder_1.txt,gmw,64,512,256,0.43436240238188034,0.29,1.26,3,0,0,0
adder_1.txt,gmw,64,512,256,0.7630501073159937,0.29,1.26,3,0,0,0
adder_1.txt,gmw,128,128,64,0.11110535563582324,0.23,1.26,3,0,0,0
adder_1.txt,gmw,128,128,64,0.807229925513901,0.23,1.26,3,0,0,0
adder_1.txt,gmw,128,128,64,0.1433662394423243,0.23,1.26,3,0,0,0
adder_1.txt,gmw,128,256,128,0.7270834343417014,0.29,1.3,3,0,0,0
adder_1.txt,gmw,128,256,128,0.2510936697755394,0.28,1.27,3,0,0,0
adder_1.txt,gmw,128,256,128,0.6327516258082461,0.29,1.27,3,0,0,0
adder_1.txt,gmw,128,512,256,0.7476082201189863,0.42,1.3,3,0,0,0
adder_1.txt,gmw,128,512,256,0.883259570827903,0.41,1.3,3,0,0,0
adder_1.txt,gmw,128,512,256,0.9695172261322917,0.41,1.29,3,0,0,0
adder_1.txt,gmw,64,128,64,5.186031406060869e-10,0.2,1.26,0,1,0,0
adder_1.txt,gmw,64,128,64,5.780267007073106e-12,0.2,1.25,0,1,0,0
adder_1.txt,gmw,64,128,64,4.960249974437759e-11,0.2,1.28,0,1,0,0
adder_1.txt,gmw,64,256,128,1.7494034019796782e-12,0.22,1.25,0,1,0,0
adder_1.txt,gmw,64,256,128,2.7316469453664507e-12,0.22,1.26,0,1,0,0
adder_1.txt,gmw,64,256,128,1.0884566312292262e-11,0.22,1.25,0,1,0,0
adder_1.txt,gmw,64,512,256,1.7737193710391315e-12,0.25,1.25,0,1,0,0
adder_1.txt,gmw,64,512,256,1.7842704864233787e-12,0.26,1.26,0,1,0,0
adder_1.txt,gmw,64,512,256,1.7845165465443205e-12,0.26,1.27,0,1,0,0
adder_1.txt,gmw,128,128,64,1.01566831427208e-20,0.22,1.25,0,1,0,0
adder_1.txt,gmw,128,128,64,3.2551201756249605e-20,0.22,1.26,0,1,0,0
adder_1.txt,gmw,128,128,64,3.1448381717458288e-21,0.22,1.26,0,1,0,0
adder_1.txt,gmw,128,256,128,1.5113685660817687e-22,0.26,1.26,0,1,0,0
adder_1.txt,gmw,128,256,128,1.8062773142678113e-22,0.26,1.28,0,1,0,0
adder_1.txt,gmw,128,256,128,3.167442018801567e-22,0.27,1.27,0,1,0,0
adder_1.txt,gmw,128,512,256,4.7428731954709086e-23,0.36,1.28,0,1,0,0
adder_1.txt,gmw,128,512,256,4.736346667209034e-23,0.35,1.28,0,1,0,0
adder_1.txt,gmw,128,512,256,4.737162011924094e-23,0.36,1.28,0,1,0,0
adder_1.txt,gmw,64,128,64,1.7462649448196783e-12,0.19,1.25,0,2,0,0
adder_1.txt,gmw,64,128,64,2.5630324225406277e-12,0.2,1.26,0,2,0,0
adder_1.txt,gmw,64,128,64,2.6789418755918115e-12,0.21,1.25,0,2,0,0
adder_1.txt,gmw,64,256,128,1.7649300413204103e-12,0.22,1.26,0,2,0,0
adder_1.txt,gmw,64,256,128,1.774943289910911e-12,0.22,1.26,0,2,0,0
adder_1.txt,gmw,64,256,128,1.7720071885351366e-12,0.22,1.25,0,2,0,0
adder_1.txt,gmw,64,512,256,1.7818116007482248e-12,0.26,1.26,0,2,0,0
adder_1.txt,gmw,64,512,256,1.7891976220686667e-12,0.26,1.26,0,2,0,0
adder_1.txt,gmw,64,512,256,1.7887043460418123e-12,0.27,1.29,0,2,0,0
adder_1.txt,gmw,128,128,64,5.0089885194979084e-23,0.22,1.27,0,2,0,0
adder_1.txt,gmw,128,128,64,5.947809351759193e-23,0.22,1.25,0,2,0,0
adder_1.txt,gmw,128,128,64,4.741995566347752e-23,0.22,1.25,0,2,0,0
adder_1.txt,gmw,128,256,128,4.610311116028667e-23,0.26,1.28,0,2,0,0
adder_1.txt,gmw,128,256,128,4.809495436617986e-23,0.26,1.29,0,2,0,0
adder_1.txt,gmw,128,256,128,4.657894755099538e-23,0.26,1.27,0,2,0,0
adder_1.txt,gmw,128,512,256,4.722668984421631e-23,0.36,1.28,0,2,0,0
adder_1.txt,gmw,128,512,256,4.7225063832751046e-23,0.36,1.27,0,2,0,0
adder_1.txt,gmw,128,512,256,4.728526203211798e-23,0.36,1.28,0,2,0,0
adder_1.txt,gmw,64,128,64,1.7673674951634194e-12,0.19,1.25,0,3,0,0
adder_1.txt,gmw,64,128,64,1.758364350076191e-12,0.19,1.27,0,3,0,0
adder_1.txt,gmw,64,128,64,1.7457825651379484e-12,0.2,1.25,0,3,0,0
adder_1.txt,gmw,64,256,128,1.772740794827488e-12,0.22,1.26,0,3,0,0
adder_1.txt,gmw,64,256,128,1.748678682541267e-12,0.23,1.25,0,3,0,0
adder_1.txt,gmw,64,256,128,1.7498867017251048e-12,0.23,1.26,0,3,0,0
adder_1.txt,gmw,64,512,256,1.770296526156405e-12,0.27,1.27,0,3,0,0
adder_1.txt,gmw,64,512,256,1.7646864660514335e-12,0.27,1.25,0,3,0,0
adder_1.txt,gmw,64,512,256,1.7840244575047484e-12,0.28,1.27,0,3,0,0
adder_1.txt,gmw,128,128,64,4.581479671976532e-23,0.22,1.26,0,3,0,0
adder_1.txt,gmw,128,128,64,9.649141473405946e-23,0.22,1.26,0,3,0,0
adder_1.txt,gmw,128,128,64,6.910562780663373e-23,0.22,1.25,0,3,0,0
adder_1.txt,gmw,128,256,128,4.6542054811371264e-23,0.27,1.27,0,3,0,0
adder_1.txt,gmw,128,256,128,4.6566112113532455e-23,0.26,1.26,0,3,0,0
adder_1.txt,gmw,128,256,128,4.6271831638785086e-23,0.28,1.26,0,3,0,0
adder_1.txt,gmw,128,512,256,4.7418936666420914e-23,0.36,1.27,0,3,0,0
adder_1.txt,gmw,128,512,256,4.7195804806600857e-23,0.37,1.28,0,3,0,0
adder_1.txt,gmw,128,512,256,4.7176308449386516e-23,0.37,1.27,0,3,0,0
adder_1.txt,gmw,64,128,64,1.7474714303870338e-12,0.19,1.24,0,0,1,0
adder_1.txt,gmw,64,128,64,1.7199153156581087e-12,0.2,1.25,0,0,1,0
adder_1.txt,gmw,64,128,64,1.737120660333393e-12,0.2,1.25,0,0,1,0
adder_1.txt,gmw,64,256,128,1.7627389765688595e-12,0.22,1.25,0,0,1,0
adder_1.txt,gmw,64,256,128,1.7629823046113154e-12,0.22,1.26,0,0,1,0
adder_1.txt,gmw,64,256,128,1.7766580812006248e-12,0.22,1.25,0,0,1,0
adder_1.txt,gmw,64,512,256,1.79388998762691e-12,0.26,1.25,0,0,1,0
adder_1.txt,gmw,64,512,256,1.7840244575047484e-12,0.26,1.26,0,0,1,0
adder_1.txt,gmw,64,512,256,1.7859935627201583e-12,0.26,1.26,0,0,1,0
