iters, train_size, test_size, pval, time
10, 128, 128, , 0.7388067245483398
10, 128, 128, , 0.7449040412902832
10, 128, 128, , 0.7531390190124512
15, 128, 128, , 0.7411730289459229
15, 128, 128, , 0.7546570301055908
15, 128, 128, , 0.7471795082092285
20, 128, 128, , 0.7527070045471191
20, 128, 128, , 0.74092698097229
20, 128, 128, , 0.7428755760192871
25, 128, 128, , 0.7450129985809326
25, 128, 128, , 0.7314763069152832
25, 128, 128, , 0.7497124671936035
30, 128, 128, , 0.7460196018218994
30, 128, 128, , 0.7427763938903809
30, 128, 128, , 0.7528951168060303
35, 128, 128, , 0.7420976161956787
35, 128, 128, , 0.7506427764892578
35, 128, 128, , 0.7556145191192627
40, 128, 128, , 0.7471206188201904
40, 128, 128, , 0.7473132610321045
40, 128, 128, , 0.7679810523986816
45, 128, 128, , 0.7305083274841309
45, 128, 128, , 0.7697556018829346
45, 128, 128, , 0.7533969879150391
50, 128, 128, , 0.7325255870819092
50, 128, 128, , 0.7523481845855713
50, 128, 128, , 0.7323379516601562
10, 128, 256, , 0.7488150596618652
10, 128, 256, , 0.7307925224304199
10, 128, 256, , 0.7368247509002686
15, 128, 256, , 0.7507972717285156
15, 128, 256, , 0.7337512969970703
15, 128, 256, , 0.7506341934204102
20, 128, 256, , 0.751978874206543
20, 128, 256, , 0.7487590312957764
20, 128, 256, , 0.7405133247375488
25, 128, 256, , 0.7546324729919434
25, 128, 256, , 0.7272977828979492
25, 128, 256, , 0.7322018146514893
30, 128, 256, , 0.7413239479064941
30, 128, 256, , 0.7516627311706543
30, 128, 256, , 0.7358806133270264
35, 128, 256, , 0.7259914875030518
35, 128, 256, , 0.7457914352416992
35, 128, 256, , 0.7480571269989014
40, 128, 256, , 0.7533764839172363
40, 128, 256, , 0.7308318614959717
40, 128, 256, , 0.7571184635162354
45, 128, 256, , 0.7518901824951172
45, 128, 256, , 0.7525384426116943
45, 128, 256, , 0.7404360771179199
50, 128, 256, , 0.7586164474487305
50, 128, 256, , 0.7466175556182861
50, 128, 256, , 0.7664964199066162
10, 128, 512, , 0.7397761344909668
10, 128, 512, , 0.7474086284637451
10, 128, 512, , 0.748206377029419
15, 128, 512, , 0.7389233112335205
15, 128, 512, , 0.7326571941375732
15, 128, 512, , 0.7559385299682617
20, 128, 512, , 0.7483959197998047
20, 128, 512, , 0.7473208904266357
20, 128, 512, , 0.741734504699707
25, 128, 512, , 0.7326440811157227
25, 128, 512, , 0.7417426109313965
25, 128, 512, , 0.7823655605316162
30, 128, 512, , 0.7327556610107422
30, 128, 512, , 0.7545325756072998
30, 128, 512, , 0.7485685348510742
35, 128, 512, , 0.7334449291229248
35, 128, 512, , 0.733238697052002
35, 128, 512, , 0.737412691116333
40, 128, 512, , 0.7343673706054688
40, 128, 512, , 0.732487678527832
40, 128, 512, , 0.7378902435302734
45, 128, 512, , 0.7452783584594727
45, 128, 512, , 0.7454450130462646
45, 128, 512, , 0.7473852634429932
50, 128, 512, , 0.7484917640686035
50, 128, 512, , 0.7525489330291748
50, 128, 512, , 0.7492043972015381
10, 128, 1024, , 0.7446749210357666
10, 128, 1024, , 0.7466976642608643
10, 128, 1024, , 0.7455592155456543
15, 128, 1024, , 0.7474119663238525
15, 128, 1024, , 0.7487246990203857
15, 128, 1024, , 0.732323169708252
20, 128, 1024, , 0.749133825302124
20, 128, 1024, , 0.7285933494567871
20, 128, 1024, , 0.75657057762146
25, 128, 1024, , 0.7423105239868164
25, 128, 1024, , 0.760833740234375
25, 128, 1024, , 0.7458381652832031
30, 128, 1024, , 0.7354295253753662
30, 128, 1024, , 0.7424113750457764
30, 128, 1024, , 0.7604691982269287
35, 128, 1024, , 0.7470061779022217
35, 128, 1024, , 0.7489597797393799
35, 128, 1024, , 0.7586989402770996
40, 128, 1024, , 0.7514357566833496
40, 128, 1024, , 0.7586145401000977
